goal	rule	score
ancestor(A, R)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	1
lives_in(C, A)	lives_in(kara_stoneward, granite_bay)	1
lives_in(S, moonwatch_castle)	lives_in(theron_lunaris, moonwatch_castle)	1
located_in(A, moonfen)	located_in(moonwatch_castle, moonfen)	1
parent(maeve_solaris, C)	parent(maeve_solaris, liora_solaris)	1
lives_in(ash_thornvale, A)	lives_in(ash_thornvale, greenhollow)	1
lives_in(D, A)	lives_in(ren_emberfall, emberfall_hold)	1
resident_of(R2, central_realm)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
located_in(B, A)	located_in(mistharbor, moonfen)	1
resident_of(evan_riverwyn, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
lives_in(S, A)	lives_in(darian_stoneward, stonegate_keep)	1
age_group(H1, adult)	age_group(maeve_solaris, adult)	1
member_of_house(elara_solaris, house_solaris)	member_of_house(elara_solaris, house_solaris)	1
serves(X, Z)	serves(caelan_solaris, aelric_solaris)	1
age_group(L, adult)	age_group(rhea_riverwyn, adult)	1
member_of_house(L, A)	member_of_house(darian_stoneward, house_stoneward)	1
serves(A, Z)	serves(faye_thornvale, lyra_thornvale)	1
adult(leon_lunaris)	adult(X) :- age_group(X, adult)	1
resident_of(toren_emberfall, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(aelric_solaris, L3)	parent(aelric_solaris, darius_solaris)	1
lives_in(H, A)	lives_in(seris_solaris, sunspire_keep)	1
lives_in(Y, A)	lives_in(leon_lunaris, mistharbor)	1
resident_of(ren_emberfall, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
serves(C, A)	serves(briar_thornvale, lyra_thornvale)	1
located_in(A, H1)	located_in(sunspire_keep, sunreach)	1
ancestor(A, B)	ancestor(X, Y) :- parent(X, Y)	1
lives_in(Y, rivermeet_hall)	lives_in(alina_riverwyn, rivermeet_hall)	1
lives_in(C, stonegate_keep)	lives_in(tessa_stoneward, stonegate_keep)	1
lives_in(H, A)	lives_in(talia_lunaris, mistharbor)	1
lives_in(toren_emberfall, emberfall_hold)	lives_in(toren_emberfall, emberfall_hold)	1
age_group(D, adult)	age_group(leon_lunaris, adult)	1
parent(X, L1)	parent(alina_riverwyn, evan_riverwyn)	1
lives_in(L, A)	lives_in(ash_thornvale, greenhollow)	1
parent(B, X)	parent(maris_riverwyn, rhea_riverwyn)	1
age_group(rowan_thornvale, elder)	age_group(rowan_thornvale, elder)	1
lives_in(R1, sunspire_keep)	lives_in(maeve_solaris, sunspire_keep)	1
parent(X, D)	parent(elara_solaris, aelric_solaris)	1
parent(R2, S)	parent(cedric_thornvale, ash_thornvale)	1
member_of_house(H, H1)	member_of_house(talia_lunaris, house_lunaris)	1
parent(L, R)	parent(isolde_thornvale, lyra_thornvale)	1
age_group(H1, adult)	age_group(talia_lunaris, adult)	1
parent(R, A)	parent(tessa_stoneward, petra_stoneward)	1
parent(R2, cedric_thornvale)	parent(isolde_thornvale, cedric_thornvale)	1
lives_in(A, reedcross)	lives_in(kellan_riverwyn, reedcross)	1
age_group(A, B)	age_group(corin_riverwyn, elder)	1
lives_in(selene_lunaris, A)	lives_in(selene_lunaris, moonwatch_castle)	1
serves(L, H1)	serves(caelan_solaris, aelric_solaris)	1
within_region(moonfen, L3)	within_region(A, B) :- part_of(A, B)	1
adult(pyr_emberfall)	adult(X) :- age_group(X, adult)	1
lives_in(R1, mistharbor)	lives_in(leon_lunaris, mistharbor)	1
located_in(A, riverlands)	located_in(rivermeet_hall, riverlands)	1
lives_in(S, A)	lives_in(kaela_emberfall, emberfall_hold)	1
adult(orion_solaris)	adult(X) :- age_group(X, elder)	1
member_of_house(A, house_solaris)	member_of_house(orion_solaris, house_solaris)	1
part_of(A, B)	part_of(cinderlands, eastern_realm)	1
resident_of(brom_emberfall, cinderlands)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
lives_in(B, rivermeet_hall)	lives_in(maris_riverwyn, rivermeet_hall)	1
member_of_house(H2, A)	member_of_house(iris_lunaris, house_lunaris)	1
parent(R2, S)	parent(aelric_solaris, darius_solaris)	1
connected_region(riverlands, R)	connected_region(A, C) :- road(A, B), connected_region(B, C)	1
parent(L, R)	parent(kaela_emberfall, toren_emberfall)	1
located_in(A, moonfen)	located_in(mistharbor, moonfen)	1
female(H1)	female(talia_lunaris)	1
seat_of(house_emberfall, A)	seat_of(house_emberfall, emberfall_hold)	1
lives_in(L1, granite_bay)	lives_in(kara_stoneward, granite_bay)	1
lives_in(G, A)	lives_in(vessa_lunaris, moonwatch_castle)	1
serves(X, Z)	serves(faye_thornvale, lyra_thornvale)	1
serves(A, H1)	serves(sylvi_emberfall, toren_emberfall)	1
part_of(thornwood, L2)	part_of(thornwood, southern_realm)	1
member_of_house(orion_solaris, house_solaris)	member_of_house(orion_solaris, house_solaris)	1
lives_in(H, A)	lives_in(aelric_solaris, sunspire_keep)	1
lives_in(darius_solaris, A)	lives_in(darius_solaris, goldmarket)	1
road(A, R)	road(sunreach, riverlands)	1
member_of_house(H, A)	member_of_house(aelric_solaris, house_solaris)	1
serves(X, A)	serves(pyr_emberfall, toren_emberfall)	1
parent(C, aelric_solaris)	parent(orion_solaris, aelric_solaris)	1
part_of(A, G)	part_of(cinderlands, eastern_realm)	1
road(A, Z)	road(riverlands, stonecoast)	1
parent(myra_emberfall, R2)	parent(myra_emberfall, pyr_emberfall)	1
parent(B, X)	parent(kaela_emberfall, myra_emberfall)	1
located_in(A, B)	located_in(ashport, cinderlands)	1
lives_in(L1, A)	lives_in(kara_stoneward, granite_bay)	1
female(H1)	female(iris_lunaris)	1
lives_in(H, A)	lives_in(sylvi_emberfall, ashport)	1
parent(A, B)	parent(petra_stoneward, nash_stoneward)	1
part_of(stonecoast, L2)	part_of(stonecoast, southern_realm)	1
lives_in(H, A)	lives_in(leon_lunaris, mistharbor)	1
parent(C, A)	parent(orion_solaris, maeve_solaris)	1
road(riverlands, G)	road(riverlands, sunreach)	1
parent(cassian_lunaris, R2)	parent(cassian_lunaris, leon_lunaris)	1
member_of_house(H, A)	member_of_house(corin_riverwyn, house_riverwyn)	1
serves(A, B)	serves(ren_emberfall, toren_emberfall)	1
lives_in(S, rivermeet_hall)	lives_in(nella_riverwyn, rivermeet_hall)	1
lives_in(R1, A)	lives_in(orion_solaris, sunspire_keep)	1
serves(B, A)	serves(caelan_solaris, aelric_solaris)	1
lives_in(R1, goldmarket)	lives_in(darius_solaris, goldmarket)	1
parent(B, C)	parent(selene_lunaris, leon_lunaris)	1
parent(L, lyra_thornvale)	parent(isolde_thornvale, lyra_thornvale)	1
lives_in(H1, A)	lives_in(kara_stoneward, granite_bay)	1
resident_of(iris_lunaris, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
member_of_house(H2, A)	member_of_house(brom_emberfall, house_emberfall)	1
lives_in(B, A)	lives_in(alina_riverwyn, rivermeet_hall)	1
located_in(A, L2)	located_in(sunspire_keep, sunreach)	1
road(cinderlands, A)	road(cinderlands, riverlands)	1
lives_in(A, rivermeet_hall)	lives_in(nella_riverwyn, rivermeet_hall)	1
serves(A, H1)	serves(rhea_riverwyn, maris_riverwyn)	1
lives_in(G, A)	lives_in(cassian_lunaris, moonwatch_castle)	1
lives_in(H2, emberfall_hold)	lives_in(myra_emberfall, emberfall_hold)	1
lives_in(C, A)	lives_in(orion_solaris, sunspire_keep)	1
resident_of(tessa_stoneward, stonecoast)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(maeve_solaris, L3)	parent(maeve_solaris, caelan_solaris)	1
parent(A, S)	parent(maris_riverwyn, kellan_riverwyn)	1
lives_in(R2, A)	lives_in(alina_riverwyn, rivermeet_hall)	1
lives_in(H, moonwatch_castle)	lives_in(nyra_lunaris, moonwatch_castle)	1
parent(B, A)	parent(orion_solaris, maeve_solaris)	1
lives_in(A, goldmarket)	lives_in(darius_solaris, goldmarket)	1
lives_in(B, A)	lives_in(caelan_solaris, sunspire_keep)	1
parent(B, C)	parent(aelric_solaris, darius_solaris)	1
same_house(R2, S)	same_house(X, Y) :- member_of_house(X, H), member_of_house(Y, H)	1
female(elara_solaris)	female(elara_solaris)	1
member_of_house(A, B)	member_of_house(alina_riverwyn, house_riverwyn)	1
lives_in(R2, A)	lives_in(caelan_solaris, sunspire_keep)	1
part_of(western_realm, L3)	part_of(western_realm, kingdom_asteria)	1
lives_in(nella_riverwyn, A)	lives_in(nella_riverwyn, rivermeet_hall)	1
parent(lyra_thornvale, B)	parent(lyra_thornvale, ash_thornvale)	1
parent(C, L3)	parent(cedric_thornvale, wren_thornvale)	1
ancestor(A, L3)	ancestor(X, Y) :- parent(X, Y)	1
resident_of(darius_solaris, western_realm)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
road(B, A)	road(riverlands, stonecoast)	1
parent(X, D)	parent(aelric_solaris, liora_solaris)	1
lives_in(A, goldmarket)	lives_in(liora_solaris, goldmarket)	1
parent(A, B)	parent(evan_riverwyn, mira_riverwyn)	1
serves(B, A)	serves(faye_thornvale, lyra_thornvale)	1
serves(C, A)	serves(nella_riverwyn, maris_riverwyn)	1
parent(R, A)	parent(aelric_solaris, liora_solaris)	1
lives_in(galen_stoneward, stonegate_keep)	lives_in(galen_stoneward, stonegate_keep)	1
lives_in(L3, A)	lives_in(garrick_emberfall, emberfall_hold)	1
serves(C, A)	serves(pyr_emberfall, toren_emberfall)	1
parent(C, darian_stoneward)	parent(galen_stoneward, darian_stoneward)	1
influence(house_riverwyn, Z)	influence(H, R) :- member_of_house(X, H), resident_of(X, R)	1
can_travel(R1, L)	can_travel(X, R2) :- resident_of(X, R1), connected_region(R1, R2)	1
lives_in(S, goldmarket)	lives_in(liora_solaris, goldmarket)	1
connected_region(thornwood, moonfen)	connected_region(A, B) :- road(A, B)	1
ancestor(lyra_thornvale, R2)	ancestor(X, Y) :- parent(X, Y)	1
part_of(riverlands, A)	part_of(riverlands, central_realm)	1
member_of_house(rowan_thornvale, house_thornvale)	member_of_house(rowan_thornvale, house_thornvale)	1
lives_in(D, A)	lives_in(maris_riverwyn, rivermeet_hall)	1
parent(R2, myra_emberfall)	parent(kaela_emberfall, myra_emberfall)	1
parent(A, R2)	parent(cedric_thornvale, wren_thornvale)	1
parent(B, X)	parent(galen_stoneward, darian_stoneward)	1
connected_region(thornwood, L2)	connected_region(A, B) :- road(A, B)	1
age_group(vessa_lunaris, adult)	age_group(vessa_lunaris, adult)	1
lives_in(A, B)	lives_in(galen_stoneward, stonegate_keep)	1
road(A, B)	road(stonecoast, riverlands)	1
lives_in(D, A)	lives_in(rowan_thornvale, thornvale_manor)	1
road(stonecoast, R)	road(stonecoast, riverlands)	1
member_of_house(S, house_thornvale)	member_of_house(faye_thornvale, house_thornvale)	1
lives_in(L3, emberfall_hold)	lives_in(kaela_emberfall, emberfall_hold)	1
lives_in(C, emberfall_hold)	lives_in(myra_emberfall, emberfall_hold)	1
resident_of(D, western_realm)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
located_in(A, H1)	located_in(mistharbor, moonfen)	1
parent(X, D)	parent(darian_stoneward, bram_stoneward)	1
member_of_house(H2, A)	member_of_house(darius_solaris, house_solaris)	1
serves(X, Z)	serves(darius_solaris, aelric_solaris)	1
resident_of(H1, riverlands)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(maris_riverwyn, R1)	parent(maris_riverwyn, kellan_riverwyn)	1
lives_in(L1, sunspire_keep)	lives_in(maeve_solaris, sunspire_keep)	1
member_of_house(H2, house_lunaris)	member_of_house(nyra_lunaris, house_lunaris)	1
parent(R, A)	parent(darian_stoneward, bram_stoneward)	1
ancestor(myra_emberfall, A)	ancestor(X, Y) :- parent(X, Y)	1
member_of_house(H2, A)	member_of_house(ren_emberfall, house_emberfall)	1
parent(R2, R1)	parent(galen_stoneward, petra_stoneward)	1
lives_in(L3, emberfall_hold)	lives_in(brom_emberfall, emberfall_hold)	1
lives_in(D, A)	lives_in(nyra_lunaris, moonwatch_castle)	1
serves(X, Z)	serves(nella_riverwyn, maris_riverwyn)	1
age_group(L, adult)	age_group(bram_stoneward, adult)	1
member_of_house(S, house_lunaris)	member_of_house(iris_lunaris, house_lunaris)	1
parent(L, R)	parent(myra_emberfall, ren_emberfall)	1
parent(B, A)	parent(selene_lunaris, talia_lunaris)	1
lives_in(brom_emberfall, emberfall_hold)	lives_in(brom_emberfall, emberfall_hold)	1
lives_in(maeve_solaris, sunspire_keep)	lives_in(maeve_solaris, sunspire_keep)	1
lives_in(L1, A)	lives_in(sylvi_emberfall, ashport)	1
member_of_house(L2, H1)	member_of_house(cedric_thornvale, house_thornvale)	1
parent(cassian_lunaris, R2)	parent(cassian_lunaris, iris_lunaris)	1
parent(evan_riverwyn, R2)	parent(evan_riverwyn, mira_riverwyn)	1
located_in(A, Z)	located_in(stonegate_keep, stonecoast)	1
parent(L, petra_stoneward)	parent(galen_stoneward, petra_stoneward)	1
road(riverlands, Z)	road(riverlands, moonfen)	1
parent(L, R)	parent(aelric_solaris, caelan_solaris)	1
road(thornwood, S)	road(thornwood, moonfen)	1
age_group(briar_thornvale, adult)	age_group(briar_thornvale, adult)	1
parent(darian_stoneward, A)	parent(darian_stoneward, kara_stoneward)	1
adult(mira_riverwyn)	adult(X) :- age_group(X, adult)	1
parent(A, R2)	parent(isolde_thornvale, cedric_thornvale)	1
lives_in(L3, A)	lives_in(theron_lunaris, moonwatch_castle)	1
lives_in(H, ashport)	lives_in(pyr_emberfall, ashport)	1
lives_in(X, sunspire_keep)	lives_in(orion_solaris, sunspire_keep)	1
lives_in(A, thornvale_manor)	lives_in(isolde_thornvale, thornvale_manor)	1
lives_in(kaela_emberfall, A)	lives_in(kaela_emberfall, emberfall_hold)	1
lives_in(L1, rivermeet_hall)	lives_in(alina_riverwyn, rivermeet_hall)	1
serves(L, H1)	serves(nella_riverwyn, maris_riverwyn)	1
lives_in(isolde_thornvale, A)	lives_in(isolde_thornvale, thornvale_manor)	1
member_of_house(H2, A)	member_of_house(briar_thornvale, house_thornvale)	1
lives_in(R1, A)	lives_in(faye_thornvale, thornvale_manor)	1
parent(C, L3)	parent(isolde_thornvale, cedric_thornvale)	1
parent(R2, S)	parent(nyra_lunaris, vessa_lunaris)	1
age_group(D, adult)	age_group(faye_thornvale, adult)	1
parent(darian_stoneward, A)	parent(darian_stoneward, bram_stoneward)	1
lives_in(G, A)	lives_in(mira_riverwyn, reedcross)	1
lives_in(L3, A)	lives_in(caelan_solaris, sunspire_keep)	1
lives_in(G, A)	lives_in(nella_riverwyn, rivermeet_hall)	1
lives_in(S, A)	lives_in(garrick_emberfall, emberfall_hold)	1
parent(cassian_lunaris, R)	parent(cassian_lunaris, talia_lunaris)	1
member_of_house(L, house_solaris)	member_of_house(elara_solaris, house_solaris)	1
ancestor(cassian_lunaris, S)	ancestor(X, Y) :- parent(X, Y)	1
parent(A, C)	parent(corin_riverwyn, evan_riverwyn)	1
resident_of(A, western_realm)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
member_of_house(L3, A)	member_of_house(kara_stoneward, house_stoneward)	1
lives_in(C, goldmarket)	lives_in(liora_solaris, goldmarket)	1
lives_in(A, rivermeet_hall)	lives_in(corin_riverwyn, rivermeet_hall)	1
member_of_house(A, house_riverwyn)	member_of_house(nella_riverwyn, house_riverwyn)	1
parent(B, X)	parent(theron_lunaris, selene_lunaris)	1
parent(A, S)	parent(theron_lunaris, vessa_lunaris)	1
lives_in(R2, sunspire_keep)	lives_in(caelan_solaris, sunspire_keep)	1
road(B, A)	road(stonecoast, thornwood)	1
serves(L, A)	serves(bram_stoneward, darian_stoneward)	1
parent(C, A)	parent(tessa_stoneward, owen_stoneward)	1
parent(L, R)	parent(theron_lunaris, cassian_lunaris)	1
parent(X, D)	parent(rowan_thornvale, briar_thornvale)	1
connected_region(stonecoast, B)	connected_region(A, C) :- road(A, B), connected_region(B, C)	1
lives_in(X, emberfall_hold)	lives_in(toren_emberfall, emberfall_hold)	1
road(A, D)	road(moonfen, riverlands)	1
road(A, S)	road(riverlands, cinderlands)	1
parent(C, A)	parent(nyra_lunaris, cassian_lunaris)	1
lives_in(S, greenhollow)	lives_in(wren_thornvale, greenhollow)	1
lives_in(G, A)	lives_in(seris_solaris, sunspire_keep)	1
located_in(A, L2)	located_in(mistharbor, moonfen)	1
member_of_house(L, house_lunaris)	member_of_house(selene_lunaris, house_lunaris)	1
parent(R, A)	parent(rowan_thornvale, briar_thornvale)	1
member_of_house(H2, A)	member_of_house(petra_stoneward, house_stoneward)	1
lives_in(A, B)	lives_in(theron_lunaris, moonwatch_castle)	1
parent(maeve_solaris, R)	parent(maeve_solaris, darius_solaris)	1
parent(B, X)	parent(orion_solaris, seris_solaris)	1
located_in(A, L3)	located_in(stonegate_keep, stonecoast)	1
member_of_house(L3, A)	member_of_house(kaela_emberfall, house_emberfall)	1
parent(selene_lunaris, B)	parent(selene_lunaris, leon_lunaris)	1
lives_in(D, A)	lives_in(nella_riverwyn, rivermeet_hall)	1
located_in(reedcross, riverlands)	located_in(reedcross, riverlands)	1
parent(G, darian_stoneward)	parent(tessa_stoneward, darian_stoneward)	1
adult(L)	adult(X) :- age_group(X, adult)	1
market_in(B, A)	market_in(mist_guild, mistharbor)	1
serves(C, A)	serves(seris_solaris, aelric_solaris)	1
age_group(liora_solaris, adult)	age_group(liora_solaris, adult)	1
parent(B, A)	parent(tessa_stoneward, owen_stoneward)	1
resident_of(aelric_solaris, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(A, R1)	parent(tessa_stoneward, darian_stoneward)	1
resident_of(R1, stonecoast)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(A, B)	parent(toren_emberfall, ren_emberfall)	1
serves(A, B)	serves(rhea_riverwyn, maris_riverwyn)	1
parent(maris_riverwyn, C)	parent(maris_riverwyn, kellan_riverwyn)	1
parent(A, maeve_solaris)	parent(orion_solaris, maeve_solaris)	1
member_of_house(H2, house_stoneward)	member_of_house(darian_stoneward, house_stoneward)	1
parent(L, R)	parent(cassian_lunaris, leon_lunaris)	1
located_in(stonegate_keep, stonecoast)	located_in(stonegate_keep, stonecoast)	1
parent(A, B)	parent(toren_emberfall, pyr_emberfall)	1
road(A, L)	road(moonfen, riverlands)	1
lives_in(D, thornvale_manor)	lives_in(rowan_thornvale, thornvale_manor)	1
parent(B, C)	parent(nyra_lunaris, vessa_lunaris)	1
member_of_house(L, house_thornvale)	member_of_house(lyra_thornvale, house_thornvale)	1
member_of_house(H2, A)	member_of_house(maeve_solaris, house_solaris)	1
resident_of(D, central_realm)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
parent(G, selene_lunaris)	parent(theron_lunaris, selene_lunaris)	1
member_of_house(S, house_riverwyn)	member_of_house(kellan_riverwyn, house_riverwyn)	1
member_of_house(Z, house_stoneward)	member_of_house(nash_stoneward, house_stoneward)	1
lives_in(A, B)	lives_in(bram_stoneward, stonegate_keep)	1
controls_region(house_riverwyn, L3)	controls_region(H, R) :- seat_of(H, S), located_in(S, R)	1
parent(R2, S)	parent(corin_riverwyn, nella_riverwyn)	1
ancestor(darian_stoneward, R2)	ancestor(X, Y) :- parent(X, Y)	1
parent(C, L3)	parent(brom_emberfall, myra_emberfall)	1
part_of(moonfen, Z)	part_of(moonfen, northern_realm)	1
resident_of(sylvi_emberfall, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(A, R)	parent(maris_riverwyn, kellan_riverwyn)	1
lives_in(H2, granite_bay)	lives_in(kara_stoneward, granite_bay)	1
parent(X, L1)	parent(petra_stoneward, kara_stoneward)	1
age_group(A, B)	age_group(bram_stoneward, adult)	1
resident_of(R2, A)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
seat_of(house_emberfall, emberfall_hold)	seat_of(house_emberfall, emberfall_hold)	1
part_of(western_realm, A)	part_of(western_realm, kingdom_asteria)	1
within_region(southern_realm, L3)	within_region(A, B) :- part_of(A, B)	1
connected_region(moonfen, R)	connected_region(A, C) :- road(A, B), connected_region(B, C)	1
serves(A, Z)	serves(evan_riverwyn, aelric_solaris)	1
serves(L, A)	serves(ash_thornvale, lyra_thornvale)	1
lives_in(Y, A)	lives_in(myra_emberfall, emberfall_hold)	1
lives_in(R1, A)	lives_in(ren_emberfall, emberfall_hold)	1
lives_in(L1, thornvale_manor)	lives_in(isolde_thornvale, thornvale_manor)	1
parent(A, R2)	parent(brom_emberfall, toren_emberfall)	1
part_of(A, H)	part_of(eastern_realm, kingdom_asteria)	1
ancestor(maris_riverwyn, L3)	ancestor(X, Y) :- parent(X, Y)	1
parent(L, R)	parent(alina_riverwyn, evan_riverwyn)	1
parent(maris_riverwyn, C)	parent(maris_riverwyn, rhea_riverwyn)	1
parent(B, X)	parent(alina_riverwyn, nella_riverwyn)	1
serves(C, A)	serves(cedric_thornvale, lyra_thornvale)	1
located_in(sunspire_keep, G)	located_in(sunspire_keep, sunreach)	1
lives_in(Y, A)	lives_in(selene_lunaris, moonwatch_castle)	1
road(A, G)	road(sunreach, riverlands)	1
located_in(granite_bay, Z)	located_in(granite_bay, stonecoast)	1
member_of_house(B, house_thornvale)	member_of_house(lyra_thornvale, house_thornvale)	1
serves(A, maris_riverwyn)	serves(kellan_riverwyn, maris_riverwyn)	1
resident_of(ash_thornvale, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(C, L3)	parent(brom_emberfall, toren_emberfall)	1
parent(B, C)	parent(maeve_solaris, darius_solaris)	1
parent(A, R2)	parent(brom_emberfall, myra_emberfall)	1
serves(A, Z)	serves(talia_lunaris, selene_lunaris)	1
road(riverlands, L2)	road(riverlands, moonfen)	1
lives_in(C, rivermeet_hall)	lives_in(rhea_riverwyn, rivermeet_hall)	1
parent(A, C)	parent(toren_emberfall, sylvi_emberfall)	1
located_in(moonwatch_castle, H)	located_in(moonwatch_castle, moonfen)	1
lives_in(A, B)	lives_in(toren_emberfall, emberfall_hold)	1
parent(evan_riverwyn, S)	parent(evan_riverwyn, mira_riverwyn)	1
parent(R2, R1)	parent(rowan_thornvale, cedric_thornvale)	1
member_of_house(H2, house_stoneward)	member_of_house(galen_stoneward, house_stoneward)	1
parent(evan_riverwyn, A)	parent(evan_riverwyn, kellan_riverwyn)	1
lives_in(B, stonegate_keep)	lives_in(darian_stoneward, stonegate_keep)	1
serves(L, H1)	serves(evan_riverwyn, aelric_solaris)	1
lives_in(L3, A)	lives_in(wren_thornvale, greenhollow)	1
serves(X, A)	serves(cassian_lunaris, selene_lunaris)	1
member_of_house(garrick_emberfall, house_emberfall)	member_of_house(garrick_emberfall, house_emberfall)	1
lives_in(L3, emberfall_hold)	lives_in(garrick_emberfall, emberfall_hold)	1
member_of_house(H, H1)	member_of_house(pyr_emberfall, house_emberfall)	1
lives_in(H1, emberfall_hold)	lives_in(kaela_emberfall, emberfall_hold)	1
serves(L, H1)	serves(seris_solaris, aelric_solaris)	1
lives_in(H, rivermeet_hall)	lives_in(evan_riverwyn, rivermeet_hall)	1
lives_in(L, A)	lives_in(maeve_solaris, sunspire_keep)	1
lives_in(G, A)	lives_in(corin_riverwyn, rivermeet_hall)	1
member_of_house(Z, house_thornvale)	member_of_house(faye_thornvale, house_thornvale)	1
part_of(A, L)	part_of(cinderlands, eastern_realm)	1
serves(A, B)	serves(myra_emberfall, toren_emberfall)	1
serves(A, Z)	serves(mira_riverwyn, maris_riverwyn)	1
ancestor(L, R)	ancestor(X, Y) :- parent(X, Y)	1
lives_in(cedric_thornvale, thornvale_manor)	lives_in(cedric_thornvale, thornvale_manor)	1
lives_in(X, thornvale_manor)	lives_in(faye_thornvale, thornvale_manor)	1
lives_in(H, A)	lives_in(myra_emberfall, emberfall_hold)	1
parent(B, C)	parent(corin_riverwyn, nella_riverwyn)	1
parent(R2, R1)	parent(cedric_thornvale, ash_thornvale)	1
ancestor(B, C)	ancestor(X, Y) :- parent(X, Y)	1
lives_in(H1, emberfall_hold)	lives_in(brom_emberfall, emberfall_hold)	1
serves(A, B)	serves(briar_thornvale, selene_lunaris)	1
road(A, R)	road(stonecoast, riverlands)	1
member_of_house(A, B)	member_of_house(ash_thornvale, house_thornvale)	1
member_of_house(Z, house_solaris)	member_of_house(caelan_solaris, house_solaris)	1
lives_in(R2, emberfall_hold)	lives_in(garrick_emberfall, emberfall_hold)	1
parent(A, R1)	parent(galen_stoneward, owen_stoneward)	1
member_of_house(H, A)	member_of_house(maeve_solaris, house_solaris)	1
lives_in(H, emberfall_hold)	lives_in(brom_emberfall, emberfall_hold)	1
serves(A, Z)	serves(cedric_thornvale, lyra_thornvale)	1
member_of_house(L2, H1)	member_of_house(isolde_thornvale, house_thornvale)	1
ancestor(toren_emberfall, R2)	ancestor(X, Y) :- parent(X, Y)	1
age_group(D, adult)	age_group(iris_lunaris, adult)	1
parent(A, L3)	parent(brom_emberfall, garrick_emberfall)	1
member_of_house(H2, A)	member_of_house(leon_lunaris, house_lunaris)	1
parent(A, C)	parent(selene_lunaris, iris_lunaris)	1
parent(cassian_lunaris, B)	parent(cassian_lunaris, leon_lunaris)	1
lives_in(A, B)	lives_in(wren_thornvale, greenhollow)	1
serves(B, A)	serves(evan_riverwyn, aelric_solaris)	1
road(A, G)	road(cinderlands, riverlands)	1
connected_region(thornwood, S)	connected_region(A, B) :- road(A, B)	1
same_house(A, galen_stoneward)	same_house(X, Y) :- member_of_house(X, H), member_of_house(Y, H)	1
member_of_house(S, house_thornvale)	member_of_house(briar_thornvale, house_thornvale)	1
lives_in(Y, A)	lives_in(rowan_thornvale, thornvale_manor)	1
ancestor(aelric_solaris, S)	ancestor(X, Y) :- parent(X, Y)	1
member_of_house(H2, A)	member_of_house(garrick_emberfall, house_emberfall)	1
part_of(A, G)	part_of(stonecoast, southern_realm)	1
resident_of(R1, thornwood)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
lives_in(G, moonwatch_castle)	lives_in(vessa_lunaris, moonwatch_castle)	1
parent(A, B)	parent(lyra_thornvale, wren_thornvale)	1
lives_in(R1, A)	lives_in(vessa_lunaris, moonwatch_castle)	1
member_of_house(A, B)	member_of_house(myra_emberfall, house_emberfall)	1
within_region(cinderlands, L3)	within_region(A, B) :- part_of(A, B)	1
parent(C, L3)	parent(theron_lunaris, selene_lunaris)	1
member_of_house(L1, A)	member_of_house(theron_lunaris, house_lunaris)	1
lives_in(S, emberfall_hold)	lives_in(garrick_emberfall, emberfall_hold)	1
lives_in(wren_thornvale, A)	lives_in(wren_thornvale, greenhollow)	1
parent(R2, selene_lunaris)	parent(theron_lunaris, selene_lunaris)	1
part_of(B, A)	part_of(stonecoast, southern_realm)	1
resident_of(S, thornwood)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(selene_lunaris, R1)	parent(selene_lunaris, talia_lunaris)	1
member_of_house(H2, A)	member_of_house(liora_solaris, house_solaris)	1
lives_in(H1, A)	lives_in(iris_lunaris, moonwatch_castle)	1
member_of_house(L2, H1)	member_of_house(selene_lunaris, house_lunaris)	1
member_of_house(B, A)	member_of_house(ash_thornvale, house_thornvale)	1
member_of_house(H, H1)	member_of_house(kara_stoneward, house_stoneward)	1
parent(C, L3)	parent(darian_stoneward, kara_stoneward)	1
road(riverlands, B)	road(riverlands, sunreach)	1
member_of_house(R1, A)	member_of_house(wren_thornvale, house_thornvale)	1
member_of_house(L1, A)	member_of_house(elara_solaris, house_solaris)	1
located_in(emberfall_hold, G)	located_in(emberfall_hold, cinderlands)	1
